what,kind,bundleId,bundleVersion,description,time
startIde,ide,Unknown,,"[IDE] RIDE-2.2.0",1371442953595
started,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1371442953603
started,bundle,com.ebay.tools.raptor.app.metadata,2.1.0.201302010357,"com.ebay.tools.raptor.app.metadata",1371442953604
started,bundle,com.ebay.tools.raptor.common,2.1.0.201302010357,"com.ebay.tools.raptor.common",1371442953605
started,bundle,com.ebay.tools.raptor.git,2.1.0.201302010357,"com.ebay.tools.raptor.git",1371442953605
started,bundle,com.ebay.tools.raptor.projectvalidation,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation",1371442953605
started,bundle,com.ebay.tools.raptor.projectvalidation.core,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation.core",1371442953606
started,bundle,com.ebay.tools.ssdfinder,2.1.0.201302010357,"com.ebay.tools.ssdfinder",1371442953606
started,bundle,com.ebay.uede.adoptiontracking,1.3.1.R201210161858,"com.ebay.uede.adoptiontracking",1371442953607
started,bundle,com.ebay.tools.maven.archetype,2.1.0.201304090722,"com.ebay.tools.maven.archetype",1371442953756
started,bundle,com.ebay.tools.maven.archetype.raptor,2.1.0.201304090722,"com.ebay.tools.maven.archetype.raptor",1371442953757
started,bundle,com.ebay.tools.raptor.m2project.upgrade,2.1.0.201304090722,"com.ebay.tools.raptor.m2project.upgrade",1371442953758
started,bundle,com.ebay.tools.raptor.maven,2.2.0.201304090722,"com.ebay.tools.raptor.maven",1371442953759
started,bundle,com.ebay.tools.raptor.maven.build,2.1.0.201304090722,"com.ebay.tools.raptor.maven.build",1371442953759
started,bundle,com.ebay.tools.raptor.maven.resources,2.1.0.201304090722,"com.ebay.tools.raptor.maven.resources",1371442953760
started,bundle,com.ebay.tools.raptor.server.core,2.1.0.201304060228,"com.ebay.tools.raptor.server.core",1371442953760
started,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371442953761
started,bundle,com.ebay.tools.tracking,2.1.0.201304082141,"com.ebay.tools.tracking",1371442953767
started,bundle,com.ebay.tools.soa.external,2.10.0.201304120519,"com.ebay.tools.soa.external",1371442954520
started,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371442954521
started,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371442954564
started,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371442954583
stopped,bundle,com.ebay.tools.content.validation.facet,1.0.0.201301050111,"com.ebay.tools.content.validation.facet",1371444194351
stopped,bundle,com.ebay.tools.v4.appcore,1.0.0.201301050111,"com.ebay.tools.v4.appcore",1371444194351
stopped,bundle,com.ebay.tools.codegen,1.0.0.201301050111,"com.ebay.tools.codegen",1371444194351
stopped,bundle,com.ebay.tools.soa.errorlibrary.v4content,2.10.0.201304120519,"com.ebay.tools.soa.errorlibrary.v4content",1371444194351
stopped,bundle,com.ebay.content.codegen,1.0.0.201301050111,"com.ebay.content.codegen",1371444194351
stopped,bundle,com.ebay.tools.codegen.spec.manager,1.0.0.201301050111,"com.ebay.tools.codegen.spec.manager",1371444194351
stopped,bundle,com.ebay.tools.webres.resview,1.0.0.201301050111,"com.ebay.tools.webres.resview",1371444194352
stopped,bundle,com.ebay.tools.webres.explorer,1.0.0.201301050111,"com.ebay.tools.webres.explorer",1371444194352
stopped,bundle,com.ebay.tools.esf.taglib.v4,1.0.0.201301050111,"com.ebay.tools.esf.taglib.v4",1371444194352
stopped,bundle,com.ebay.tools.content,1.0.0.201301050111,"com.ebay.tools.content",1371444194364
stopped,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1371444194365
stopped,bundle,com.ebay.tools.esf.taglib,1.0.0.201301050111,"com.ebay.tools.esf.taglib",1371444194365
stopped,bundle,com.ebay.tools.esf.webtool,1.0.0.201301050111,"com.ebay.tools.esf.webtool",1371444194365
stopped,bundle,com.ebay.tools.raptor.app.metadata,2.1.0.201302010357,"com.ebay.tools.raptor.app.metadata",1371444194365
stopped,bundle,com.ebay.tools.raptor.git,2.1.0.201302010357,"com.ebay.tools.raptor.git",1371444194365
stopped,bundle,com.ebay.tools.raptor.materialize,2.1.0.201302010357,"com.ebay.tools.raptor.materialize",1371444194365
stopped,bundle,com.ebay.tools.raptor.osgiview,2.1.0.201302010357,"com.ebay.tools.raptor.osgiview",1371444194366
stopped,bundle,com.ebay.tools.raptor.projectwizard,2.2.0.201304060227,"com.ebay.tools.raptor.projectwizard",1371444194366
stopped,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371444194366
stopped,bundle,com.ebay.tools.raptor.projectvalidation,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation",1371444194366
stopped,bundle,com.ebay.tools.raptor.projectvalidation.core,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation.core",1371444194366
stopped,bundle,com.ebay.tools.raptor.m2e.connector,2.1.0.201304090722,"com.ebay.tools.raptor.m2e.connector",1371444194366
stopped,bundle,com.ebay.tools.raptor.maven.build,2.1.0.201304090722,"com.ebay.tools.raptor.maven.build",1371444194366
stopped,bundle,com.ebay.tools.raptor.maven.plugins,2.1.0.201304090722,"com.ebay.tools.raptor.maven.plugins",1371444194366
stopped,bundle,com.ebay.tools.raptor.maven.resources,2.1.0.201304090722,"com.ebay.tools.raptor.maven.resources",1371444194366
stopped,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371444194367
stopped,bundle,com.ebay.tools.raptor.maven,2.2.0.201304090722,"com.ebay.tools.raptor.maven",1371444194367
stopped,bundle,com.ebay.tools.raptor.common,2.1.0.201302010357,"com.ebay.tools.raptor.common",1371444194367
stopped,bundle,com.ebay.tools.ssdfinder,2.1.0.201302010357,"com.ebay.tools.ssdfinder",1371444194367
stopped,bundle,com.ebay.tools.soa.raptor.marketplace,2.9.0.201304120519,"com.ebay.tools.soa.raptor.marketplace",1371444194367
stopped,bundle,com.ebay.tools.soa.raptor.others,2.9.0.201304120519,"com.ebay.tools.soa.raptor.others",1371444194367
stopped,bundle,com.ebay.tools.soa.raptor,2.9.0.201304120519,"com.ebay.tools.soa.raptor",1371444194367
stopped,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371444194367
stopped,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371444194367
startIde,ide,Unknown,,"[IDE] RIDE-2.2.0",1371444472750
started,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1371444472755
started,bundle,com.ebay.tools.raptor.app.metadata,2.1.0.201302010357,"com.ebay.tools.raptor.app.metadata",1371444472755
started,bundle,com.ebay.tools.raptor.common,2.1.0.201302010357,"com.ebay.tools.raptor.common",1371444472755
started,bundle,com.ebay.tools.raptor.git,2.1.0.201302010357,"com.ebay.tools.raptor.git",1371444472756
started,bundle,com.ebay.tools.raptor.projectvalidation,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation",1371444472756
started,bundle,com.ebay.tools.raptor.projectvalidation.core,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation.core",1371444472756
started,bundle,com.ebay.uede.adoptiontracking,1.3.1.R201210161858,"com.ebay.uede.adoptiontracking",1371444472756
started,bundle,com.ebay.tools.maven.archetype,2.1.0.201304090722,"com.ebay.tools.maven.archetype",1371444472774
started,bundle,com.ebay.tools.maven.archetype.raptor,2.1.0.201304090722,"com.ebay.tools.maven.archetype.raptor",1371444472774
started,bundle,com.ebay.tools.raptor.m2project.upgrade,2.1.0.201304090722,"com.ebay.tools.raptor.m2project.upgrade",1371444472774
started,bundle,com.ebay.tools.raptor.maven,2.2.0.201304090722,"com.ebay.tools.raptor.maven",1371444472774
started,bundle,com.ebay.tools.raptor.maven.build,2.1.0.201304090722,"com.ebay.tools.raptor.maven.build",1371444472774
started,bundle,com.ebay.tools.raptor.maven.resources,2.1.0.201304090722,"com.ebay.tools.raptor.maven.resources",1371444472774
started,bundle,com.ebay.tools.raptor.server.core,2.1.0.201304060228,"com.ebay.tools.raptor.server.core",1371444472775
started,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371444472775
started,bundle,com.ebay.tools.soa.external,2.10.0.201304120519,"com.ebay.tools.soa.external",1371444472775
started,bundle,com.ebay.tools.tracking,2.1.0.201304082141,"com.ebay.tools.tracking",1371444472775
started,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371444472775
started,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371444472776
started,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371444472776
started,bundle,com.ebay.tools.raptor.m2e.logging.impl,2.1.0.201304090722,"com.ebay.tools.raptor.m2e.logging.impl",1371444773458
started,bundle,org.eclipse.wst.jsdt.ui,1.1.202.v201208171701,"org.eclipse.wst.jsdt.ui",1371446656062
stopped,bundle,com.ebay.tools.content.validation.facet,1.0.0.201301050111,"com.ebay.tools.content.validation.facet",1371446859487
stopped,bundle,com.ebay.tools.v4.appcore,1.0.0.201301050111,"com.ebay.tools.v4.appcore",1371446859488
stopped,bundle,com.ebay.tools.codegen,1.0.0.201301050111,"com.ebay.tools.codegen",1371446859488
stopped,bundle,com.ebay.tools.soa.errorlibrary.v4content,2.10.0.201304120519,"com.ebay.tools.soa.errorlibrary.v4content",1371446859488
stopped,bundle,com.ebay.content.codegen,1.0.0.201301050111,"com.ebay.content.codegen",1371446859488
stopped,bundle,com.ebay.tools.codegen.spec.manager,1.0.0.201301050111,"com.ebay.tools.codegen.spec.manager",1371446859488
stopped,bundle,com.ebay.tools.webres.resview,1.0.0.201301050111,"com.ebay.tools.webres.resview",1371446859488
stopped,bundle,com.ebay.tools.webres.explorer,1.0.0.201301050111,"com.ebay.tools.webres.explorer",1371446859488
stopped,bundle,com.ebay.tools.esf.taglib.v4,1.0.0.201301050111,"com.ebay.tools.esf.taglib.v4",1371446859488
stopped,bundle,com.ebay.tools.content,1.0.0.201301050111,"com.ebay.tools.content",1371446859502
stopped,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1371446859508
stopped,bundle,com.ebay.tools.esf.taglib,1.0.0.201301050111,"com.ebay.tools.esf.taglib",1371446859508
stopped,bundle,com.ebay.tools.esf.webtool,1.0.0.201301050111,"com.ebay.tools.esf.webtool",1371446859508
stopped,bundle,com.ebay.tools.raptor.app.metadata,2.1.0.201302010357,"com.ebay.tools.raptor.app.metadata",1371446859508
stopped,bundle,com.ebay.tools.raptor.git,2.1.0.201302010357,"com.ebay.tools.raptor.git",1371446859508
stopped,bundle,com.ebay.tools.raptor.materialize,2.1.0.201302010357,"com.ebay.tools.raptor.materialize",1371446859508
stopped,bundle,com.ebay.tools.raptor.osgiview,2.1.0.201302010357,"com.ebay.tools.raptor.osgiview",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectwizard,2.2.0.201304060227,"com.ebay.tools.raptor.projectwizard",1371446859508
stopped,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectvalidation,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectvalidation.core,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation.core",1371446859508
stopped,bundle,com.ebay.tools.raptor.m2e.connector,2.1.0.201304090722,"com.ebay.tools.raptor.m2e.connector",1371446859508
stopped,bundle,com.ebay.tools.raptor.maven.build,2.1.0.201304090722,"com.ebay.tools.raptor.maven.build",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven.plugins,2.1.0.201304090722,"com.ebay.tools.raptor.maven.plugins",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven.resources,2.1.0.201304090722,"com.ebay.tools.raptor.maven.resources",1371446859509
stopped,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven,2.2.0.201304090722,"com.ebay.tools.raptor.maven",1371446859509
stopped,bundle,com.ebay.tools.raptor.common,2.1.0.201302010357,"com.ebay.tools.raptor.common",1371446859510
stopped,bundle,com.ebay.tools.ssdfinder,2.1.0.201302010357,"com.ebay.tools.ssdfinder",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor.marketplace,2.9.0.201304120519,"com.ebay.tools.soa.raptor.marketplace",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor.others,2.9.0.201304120519,"com.ebay.tools.soa.raptor.others",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor,2.9.0.201304120519,"com.ebay.tools.soa.raptor",1371446859510
stopped,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371446859510
stopped,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371446859510
